url,numDots,subdomainLevel,pathLevel,urlLength,numDash,atSymbol,tildeSymbol,numUnderscore,numPercent,numQueryComponents,numApersand,numHash,numDigits,https,ipAddress,domainInSubdomains,domainInPaths,httpsInHostname,hostnameLength,pathLength,queryLength,doubleSlash,type
https://spdtextile.com/sport/133Cl2.exe,2,0,2,39,0,False,False,0,0,0,0,0,4,True,False,False,False,False,14,17,0,False,malware
http://facebook.com/joao.spratley,2,0,1,33,0,False,False,0,0,0,0,0,0,True,False,False,False,False,12,14,0,False,benign
http://tvguide.com/celebrities/bert-convy/141683,1,0,3,48,1,False,False,0,0,0,0,0,6,True,False,False,False,False,11,30,0,False,benign
http://valleyfreeradio.org/,1,0,0,27,0,False,False,0,0,0,0,0,0,True,False,False,False,False,19,1,0,False,benign
http://katproxy.com/new-sensations-my-hotwifes-gangbang-dvdrip-split-scenes-new-release-may-2015-t10635405.html,2,0,1,111,12,False,False,0,0,0,0,0,12,False,False,False,False,False,12,92,0,False,benign
http://businessweek.com/bschools/rankings/full_time_mba_profiles/mcgill.html,2,0,4,76,0,False,False,3,0,0,0,0,0,True,False,False,False,False,16,53,0,False,benign
http://evri.com/person/adrion-smith-0xa5c78,1,0,2,43,2,False,False,0,0,0,0,0,4,True,False,False,False,False,8,28,0,False,benign
http://www.imagepluslasvegas.com/blog/Welcome-To-a-Image-Plus-Las-Vegasa-Bloga-.html,3,1,2,84,8,False,False,0,0,0,0,0,0,False,False,False,False,False,25,52,0,False,defacement
http://blackpast.org/?q=aah/abbott-cleveland-leigh-1892-1955,1,0,0,60,4,False,False,0,0,1,0,0,8,False,False,False,False,False,13,1,38,False,benign
http://digital-electronic-info.blogspot.com/2011/05/samsung-google-nexus-s-gt-19023-google.html,3,1,3,95,8,False,False,0,0,0,0,0,11,False,False,False,False,False,36,52,0,False,benign
http://www.uspenie.info/component/user/remind.html,3,1,3,50,0,False,False,0,0,0,0,0,0,False,False,False,False,False,16,27,0,False,defacement
http://blogs.reuters.com/olympics/tag/alexandre-bilodeau/,2,1,3,57,1,False,False,0,0,0,0,0,0,False,False,False,False,False,17,33,0,False,benign
http://campusfrance.org/en/resource/euromed-ecole-de-management-toulon-esct-eid-ecole-internationale-de-design-et-ecole-superie,1,0,3,127,13,False,False,0,0,0,0,0,0,True,False,False,False,False,16,104,0,False,benign
http://extratorrent.cc/torrent/4189126/Aga+Bai+Arechyaa+2+%282015%29+l+Audio+l+Marathi+Movie+Soundtrack+l+320Kbps+l+CBR+l+Mp3+l+sn3h1t87.html,2,0,3,141,0,False,False,0,2,0,0,0,24,False,False,False,False,False,15,119,0,False,benign
http://ioffer.com/i/babe-1996-vhs-video-movie-3229933,1,0,2,53,5,False,False,0,0,0,0,0,11,True,False,False,False,False,10,36,0,False,benign
http://home.btconnect.com/purple-pro-audio/,2,1,1,43,2,False,False,0,0,0,0,0,0,False,False,False,False,False,18,18,0,False,phishing
http://en.wikipedia.org/wiki/Michel_Bissonnet,2,1,2,45,0,False,False,1,0,0,0,0,0,True,False,False,False,False,16,22,0,False,benign
http://www.orientalmarineconsignment.com/wp-content/themes/www/www.copa-2014cielo-brasil.com.br/,5,1,4,96,3,False,False,0,0,0,0,0,4,False,False,False,False,False,33,56,0,False,benign
http://likesbooks.com/quick16.html,2,0,1,34,0,False,False,0,0,0,0,0,2,True,False,False,False,False,14,13,0,False,benign
http://facebook.com/people/Michael-Burg/1087825190,1,0,3,50,1,False,False,0,0,0,0,0,10,True,False,False,False,False,12,31,0,False,benign
http://archive.yorkpress.co.uk/2002/1/5/292583.html,4,1,4,51,0,False,False,0,0,0,0,0,12,True,False,False,False,False,23,21,0,False,spam
http://anvari.co/index.php?option=com_content&view=article&id=1099&Itemid=681,2,0,1,77,0,False,False,1,0,4,3,0,7,True,False,False,False,False,9,10,50,False,defacement
http://freepages.genealogy.rootsweb.ancestry.com/~jccem/JCRO/1957.html,5,3,3,70,0,False,True,0,0,0,0,0,4,False,False,False,False,False,41,22,0,False,benign
http://spiritus-temporis.com/elliott-gould/,1,0,1,43,2,False,False,0,0,0,0,0,0,False,False,False,False,False,21,15,0,False,benign
